State,County,Population
Minnesota,Nobles,21590
Minnesota,Norman,6639
Minnesota,Olmsted,150287
Minnesota,Otter Tail,57635
Minnesota,Pennington,14058
Minnesota,Pine,29095
Minnesota,Pipestone,9281
Minnesota,Polk,31704
Minnesota,Pope,10984
Minnesota,Ramsey,532655
Minnesota,Red Lake,4043
Minnesota,Redwood,15515
Minnesota,Renville,15025
Minnesota,Rice,65151
Minnesota,Rock,9553
Minnesota,Roseau,15679
Minnesota,St. Louis,200949
Minnesota,Scott,139672
Minnesota,Sherburne,91126
Minnesota,Sibley,14918
Minnesota,Stearns,152912
Minnesota,Steele,36573
Minnesota,Stevens,9800
Minnesota,Swift,9436
Minnesota,Todd,24264
Minnesota,Traverse,3387
Minnesota,Wabasha,21362
Minnesota,Wadena,13757
Minnesota,Waseca,19025
Minnesota,Washington,249283
Minnesota,Watonwan,11083
Minnesota,Wilkin,6495
Minnesota,Winona,51097
Minnesota,Wright,129918
Minnesota,Yellow Medicine,10109
Mississippi,Adams,31737
Mississippi,Alcorn,37380
Mississippi,Amite,12629
Mississippi,Attala,19163
Mississippi,Benton,8296
Mississippi,Bolivar,33768
Mississippi,Calhoun,14745
Mississippi,Carroll,10254
Mississippi,Chickasaw,17313
Mississippi,Choctaw,8294
Mississippi,Claiborne,9080
Mississippi,Clarke,16299
Mississippi,Clay,20225
Mississippi,Coahoma,24807
Mississippi,Copiah,28797
Mississippi,Covington,19442
Mississippi,DeSoto,170913
Mississippi,Forrest,76330
Mississippi,Franklin,7833
Mississippi,George,23303
Mississippi,Greene,14326
Mississippi,Grenada,21666
Mississippi,Hancock,45949
Mississippi,Harrison,199058
Mississippi,Hinds,243729
Mississippi,Holmes,18459
Mississippi,Humphreys,8741
Mississippi,Issaquena,1397
Mississippi,Itawamba,23527
Mississippi,Jackson,141137
Mississippi,Jasper,16601
Mississippi,Jefferson,7599
Mississippi,Jefferson Davis,11822
Mississippi,Jones,68290
Mississippi,Kemper,10163
Mississippi,Lafayette,52930
Mississippi,Lamar,60099
Mississippi,Lauderdale,79739
Mississippi,Lawrence,12502
Mississippi,Leake,23193
Mississippi,Lee,85246
Mississippi,Leflore,31422
Mississippi,Lincoln,34775
Mississippi,Lowndes,59730
Mississippi,Madison,101688
Mississippi,Marion,25868
Mississippi,Marshall,36234
Mississippi,Monroe,36003
Mississippi,Montgomery,10400
Mississippi,Neshoba,29465
Mississippi,Newton,21832
Mississippi,Noxubee,11115
Mississippi,Oktibbeha,49414
Mississippi,Panola,34444
Mississippi,Pearl River,55224
Mississippi,Perry,12227
Mississippi,Pike,40058
Mississippi,Pontotoc,30950
Mississippi,Prentiss,25428
Mississippi,Quitman,7678
Mississippi,Rankin,148070
Mississippi,Scott,28461
Mississippi,Sharkey,4647
Mississippi,Simpson,27463
Mississippi,Smith,16188
Mississippi,Stone,17875
Mississippi,Sunflower,27496
Mississippi,Tallahatchie,14761
Mississippi,Tate,28204
Mississippi,Tippah,22039
Mississippi,Tishomingo,19420
Mississippi,Tunica,10598
Mississippi,Union,28097
Mississippi,Walthall,14859
Mississippi,Warren,47983
Mississippi,Washington,48958
Mississippi,Wayne,20490
Mississippi,Webster,9972
Mississippi,Wilkinson,9191
Mississippi,Winston,18478
Mississippi,Yalobusha,12276
Mississippi,Yazoo,27817
Missouri,Adair,25602
Missouri,Andrew,17379
Missouri,Atchison,5382
Missouri,Audrain,25887
Missouri,Barry,35662
Missouri,Barton,12057
Missouri,Bates,16584
Missouri,Benton,18806
Missouri,Bollinger,12394
Missouri,Boone,172717
Missouri,Buchanan,89486
Missouri,Butler,42972
Missouri,Caldwell,9034
Missouri,Callaway,44750
Missouri,Camden,44021
Missouri,Cape Girardeau,78043
Missouri,Carroll,9043
Missouri,Carter,6258
Missouri,Cass,100889
Missouri,Cedar,13952
Missouri,Chariton,7694
Missouri,Christian,82101
Missouri,Clark,6917
Missouri,Clay,233682
Missouri,Clinton,20299
Missouri,Cole,76557
Missouri,Cooper,17585
Missouri,Crawford,24650
Missouri,Dade,7628
Missouri,Dallas,16389
Missouri,Daviess,8297
Missouri,DeKalb,12692
Missouri,Dent,15655
Missouri,Douglas,13546
Missouri,Dunklin,31344
Missouri,Franklin,102084
Missouri,Gasconade,14866
Missouri,Gentry,6826
Missouri,Greene,285865
Missouri,Grundy,10197
Missouri,Harrison,8639
Missouri,Henry,22028
Missouri,Hickory,9219
Missouri,Holt,4516
Missouri,Howard,10159
Missouri,Howell,40173
Missouri,Iron,10267
Missouri,Jackson,683191
Missouri,Jasper,117543
Missouri,Jefferson,222716
Missouri,Johnson,54362
Missouri,Knox,4000
Missouri,Laclede,35439
Missouri,Lafayette,32688
Missouri,Lawrence,38023
Missouri,Lewis,10138
Missouri,Lincoln,54249
Missouri,Linn,12311
Missouri,Livingston,15053
Missouri,McDonald,22800
Missouri,Macon,15479
Missouri,Madison,12368
Missouri,Maries,9013
Missouri,Marion,28920
Missouri,Mercer,3719
Missouri,Miller,25141
Missouri,Mississippi,14232
Missouri,Moniteau,15856
Missouri,Monroe,8707
Missouri,Montgomery,11841
Missouri,Morgan,20240
Missouri,New Madrid,18272
Missouri,Newton,58598
Missouri,Nodaway,23081
Missouri,Oregon,10911
Missouri,Osage,13703
Missouri,Ozark,9492
Missouri,Pemiscot,17650
Missouri,Perry,19202
Missouri,Pettis,42225
Missouri,Phelps,44847
Missouri,Pike,18541
Missouri,Platte,94788
Missouri,Polk,31054
Missouri,Pulaski,53436
Missouri,Putnam,4829
Missouri,Ralls,10255
Missouri,Randolph,25072
Missouri,Ray,22949
Missouri,Reynolds,6565
Missouri,Ripley,13969
Missouri,St. Charles,379493
Missouri,St. Clair,9457
Missouri,Ste. Genevieve,17914
Missouri,St. Francois,65960
Missouri,St. Louis,1001876
Missouri,Saline,23347
Missouri,Schuyler,4370
Missouri,Scotland,4863
Missouri,Scott,38903
Missouri,Shannon,8329
Missouri,Shelby,6108
Missouri,Stoddard,29867
Missouri,Stone,31104
Missouri,Sullivan,6411
Missouri,Taney,54230
Missouri,Texas,25642
Missouri,Vernon,21001
Missouri,Warren,33253
Missouri,Washington,25077
Missouri,Wayne,13452
Missouri,Webster,36888
Missouri,Worth,2073
Missouri,Wright,18291
Missouri,St. Louis City,317419
Montana,Beaverhead,9345
Montana,Big Horn,13282
Montana,Blaine,6619
Montana,Broadwater,5667
Montana,Carbon,10399
Montana,Carter,1169
Montana,Cascade,82344
Montana,Chouteau,5894
Montana,Custer,12092
Montana,Daniels,1793
Montana,Dawson,9518
Montana,Deer Lodge,9150
Montana,Fallon,3108
Montana,Fergus,11442
Montana,Flathead,94924
Montana,Gallatin,97308
Montana,Garfield,1309
Montana,Glacier,13696
Montana,Golden Valley,852
Montana,Granite,3209
Montana,Hill,16596
Montana,Jefferson,11558
Montana,Judith Basin,1991
Montana,Lake,29099
Montana,Lewis and Clark,65856
Montana,Liberty,2359
Montana,Lincoln,19125
Montana,McCone,1694
Montana,Madison,7820
Montana,Meagher,1853
Montana,Mineral,4257
Montana,Missoula,112684
Montana,Musselshell,4589
Montana,Park,15880
Montana,Petroleum,485
Montana,Phillips,4192
Montana,Pondera,6219
Montana,Powder River,1783
Montana,Powell,6909
Montana,Prairie,1148
Montana,Ravalli,41030
Montana,Richland,11576
Montana,Roosevelt,11332
Montana,Rosebud,9326
Montana,Sanders,11364
Montana,Sheridan,3696
Montana,Silver Bow,34680
Montana,Stillwater,9290
Montana,Sweet Grass,3665
Montana,Teton,6064
Montana,Toole,5150
Montana,Treasure,692
Montana,Valley,7640
Montana,Wheatland,2102
Montana,Wibaux,1121
Montana,Yellowstone,155634
Nebraska,Adams,31457
Nebraska,Antelope,6398
Nebraska,Arthur,453
Nebraska,Banner,764
Nebraska,Blaine,504
Nebraska,Boone,5353
Nebraska,Box Butte,11340
Nebraska,Boyd,2033
Nebraska,Brown,2941
Nebraska,Buffalo,48224
Nebraska,Burt,6573
Nebraska,Butler,8249
Nebraska,Cass,25524
Nebraska,Cedar,8610
Nebraska,Chase,3978
Nebraska,Cherry,5762
Nebraska,Cheyenne,10148
Nebraska,Clay,6315
Nebraska,Colfax,10504
Nebraska,Cuming,9027
Nebraska,Custer,10728
Nebraska,Dakota,20850
Nebraska,Dawes,9042
Nebraska,Dawson,24096
Nebraska,Deuel,1940
Nebraska,Dixon,5782
Nebraska,Dodge,36744
Nebraska,Douglas,543244
Nebraska,Dundy,1886
Nebraska,Fillmore,5661
Nebraska,Franklin,3076
Nebraska,Frontier,2705
Nebraska,Furnas,4888
Nebraska,Gage,21663
Nebraska,Garden,1911
Nebraska,Garfield,2003
Nebraska,Gosper,1970
Nebraska,Grant,619
Nebraska,Greeley,2482
Nebraska,Hall,61492
Nebraska,Hamilton,9135
Nebraska,Harlan,3492
Nebraska,Hayes,933
Nebraska,Hitchcock,2901
Nebraska,Holt,10403
Nebraska,Hooker,728
Nebraska,Howard,6362
Nebraska,Jefferson,7335
Nebraska,Johnson,5185
Nebraska,Kearney,6644
Nebraska,Keith,8121
Nebraska,Keya Paha,810
Nebraska,Kimball,3713
Nebraska,Knox,8482
Nebraska,Lancaster,301795
Nebraska,Lincoln,35815
Nebraska,Logan,750
Nebraska,Loup,588
Nebraska,McPherson,498
Nebraska,Madison,35174
Nebraska,Merrick,7766
Nebraska,Morrill,4862
Nebraska,Nance,3570
Nebraska,Nemaha,7175
Nebraska,Nuckolls,4369
Nebraska,Otoe,15797
Nebraska,Pawnee,2702
Nebraska,Perkins,2891
Nebraska,Phelps,9187
Nebraska,Pierce,7202
Nebraska,Platte,32666
Nebraska,Polk,5271
Nebraska,Red Willow,10867
Nebraska,Richardson,8128
Nebraska,Rock,1443
Nebraska,Saline,14252
Nebraska,Sarpy,172193
Nebraska,Saunders,20919
Nebraska,Scotts Bluff,36465
Nebraska,Seward,17150
Nebraska,Sheridan,5259
Nebraska,Sherman,3074
Nebraska,Sioux,1303
Nebraska,Stanton,6069
Nebraska,Thayer,5230
Nebraska,Thomas,687
Nebraska,Thurston,6969
Nebraska,Valley,4204
Nebraska,Washington,20258
Nebraska,Wayne,9431
Nebraska,Webster,3658
Nebraska,Wheeler,766
Nebraska,York,13917
Nevada,Churchill,23989
Nevada,Clark,2069681
Nevada,Douglas,47536
Nevada,Elko,52766
Nevada,Esmeralda,822
Nevada,Eureka,2018
Nevada,Humboldt,17279
Nevada,Lander,6009
Nevada,Lincoln,5184
Nevada,Lyon,51789
Nevada,Mineral,4500
Nevada,Nye,42282
Nevada,Pershing,6698
Nevada,Storey,3912
Nevada,Washoe,440078
Nevada,White Pine,10034
Nevada,Carson City,54522
New Hampshire,Belknap,60305
New Hampshire,Carroll,47399
New Hampshire,Cheshire,76115
New Hampshire,Coos,31653
New Hampshire,Grafton,89658
New Hampshire,Hillsborough,405184
New Hampshire,Merrimack,147171
New Hampshire,Rockingham,300621
New Hampshire,Strafford,125604
New Hampshire,Sullivan,43103
New Jersey,Atlantic,275209
New Jersey,Bergen,933572
New Jersey,Burlington,449722
New Jersey,Camden,511038
New Jersey,Cape May,95344
New Jersey,Cumberland,157389
New Jersey,Essex,795723
New Jersey,Gloucester,290951
New Jersey,Hudson,669115
New Jersey,Hunterdon,126067
New Jersey,Mercer,371537
New Jersey,Middlesex,836297
New Jersey,Monmouth,629279
New Jersey,Morris,499727
New Jersey,Ocean,586301
New Jersey,Passaic,508856
New Jersey,Salem,64715
New Jersey,Somerset,332568
New Jersey,Sussex,144909
New Jersey,Union,552939
New Jersey,Warren,106917
New Mexico,Bernalillo,675551
New Mexico,Catron,3556
New Mexico,Chaves,65878
New Mexico,Cibola,27349
New Mexico,Colfax,12680
New Mexico,Curry,50969
New Mexico,De Baca,1825
New Mexico,Dona Ana,213676
New Mexico,Eddy,56395
New Mexico,Grant,29096
New Mexico,Guadalupe,4468
New Mexico,Harding,683
New Mexico,Hidalgo,4560
New Mexico,Lea,69999
New Mexico,Lincoln,19706
New Mexico,Los Alamos,17682
New Mexico,Luna,24673
New Mexico,McKinley,74098
New Mexico,Mora,4592
New Mexico,Otero,65082
New Mexico,Quay,8501
New Mexico,Rio Arriba,39777
New Mexico,Roosevelt,19536
New Mexico,Sandoval,137608
New Mexico,San Juan,123785
New Mexico,San Miguel,28239
New Mexico,Santa Fe,148164
New Mexico,Sierra,11325
New Mexico,Socorro,17310
New Mexico,Taos,33084
New Mexico,Torrance,15611
New Mexico,Union,4297
New Mexico,Valencia,75817
New York,Albany,308171
New York,Allegany,47736
New York,Bronx,1438159
New York,Broome,197349
New York,Cattaraugus,78600
New York,Cayuga,78823
New York,Chautauqua,132053
New York,Chemung,87770
New York,Chenango,49426
New York,Clinton,81632
New York,Columbia,62122
New York,Cortland,49024
New York,Delaware,46581
New York,Dutchess,296579
New York,Erie,922835
New York,Essex,38679
New York,Franklin,51262
New York,Fulton,54105
New York,Genesee,59162
New York,Greene,47967
New York,Hamilton,4715
New York,Herkimer,63744
New York,Jefferson,119103
New York,Kings,2621793
New York,Lewis,27220
New York,Livingston,64586
New York,Madison,72369
New York,Monroe,749857
New York,Montgomery,49779
New York,Nassau,1358627
New York,New York,1636268
New York,Niagara,213525
New York,Oneida,232871
New York,Onondaga,468196
New York,Ontario,109707
New York,Orange,376099
New York,Orleans,41984
New York,Oswego,120913
New York,Otsego,61128
New York,Putnam,99487
New York,Queens,2321580
New York,Rensselaer,159774
New York,Richmond,473279
New York,Rockland,323866
New York,St. Lawrence,111400
New York,Saratoga,224921
New York,Schenectady,155735
New York,Schoharie,31566
New York,Schuyler,18479
New York,Seneca,34884
New York,Steuben,98394
New York,Suffolk,1502968
New York,Sullivan,75943
New York,Tioga,49870
New York,Tompkins,104691
New York,Ulster,180445
New York,Warren,64973
New York,Washington,62372
New York,Wayne,92051
New York,Westchester,972634
New York,Wyoming,41188
New York,Yates,25208
North Carolina,Alamance,155792
North Carolina,Alexander,37392
North Carolina,Alleghany,10879
North Carolina,Anson,25765
North Carolina,Ashe,27126
North Carolina,Avery,17773
North Carolina,Beaufort,47585
North Carolina,Bertie,20106
North Carolina,Bladen,34657
North Carolina,Brunswick,118836
North Carolina,Buncombe,250539
North Carolina,Burke,89486
North Carolina,Cabarrus,192103
North Carolina,Caldwell,81484
North Carolina,Camden,10331
North Carolina,Carteret,68811
North Carolina,Caswell,23082
North Carolina,Catawba,154534
North Carolina,Chatham,68698
North Carolina,Cherokee,27141
North Carolina,Chowan,14572
North Carolina,Clay,10581
North Carolina,Cleveland,97076
North Carolina,Columbus,56953
North Carolina,Craven,104510
North Carolina,Cumberland,326328
North Carolina,Currituck,24976
North Carolina,Dare,35104
North Carolina,Davidson,164072
North Carolina,Davie,41434
North Carolina,Duplin,59882
North Carolina,Durham,294460
North Carolina,Edgecombe,54933
North Carolina,Forsyth,365298
North Carolina,Franklin,62860
North Carolina,Gaston,211127
North Carolina,Gates,11567
North Carolina,Graham,8644
North Carolina,Granville,58500
North Carolina,Greene,21093
North Carolina,Guilford,512119
North Carolina,Halifax,52970
North Carolina,Harnett,126666
North Carolina,Haywood,59471
North Carolina,Henderson,111149
North Carolina,Hertford,24308
North Carolina,Hoke,51611
North Carolina,Hyde,5676
North Carolina,Iredell,166675
North Carolina,Jackson,40981
North Carolina,Johnston,181423
North Carolina,Jones,10076
North Carolina,Lee,59662
North Carolina,Lenoir,58485
North Carolina,Lincoln,79829
North Carolina,McDowell,44965
North Carolina,Macon,33875
North Carolina,Madison,21157
North Carolina,Martin,23454
North Carolina,Mecklenburg,1012539
North Carolina,Mitchell,15311
North Carolina,Montgomery,27395
North Carolina,Moore,93077
North Carolina,Nash,94357
North Carolina,New Hanover,216298
North Carolina,Northampton,20463
North Carolina,Onslow,187589
North Carolina,Orange,140420
North Carolina,Pamlico,12948
North Carolina,Pasquotank,39787
North Carolina,Pender,56250
North Carolina,Perquimans,13466
North Carolina,Person,39132
North Carolina,Pitt,175354
North Carolina,Polk,20357
North Carolina,Randolph,142778
North Carolina,Richmond,45733
North Carolina,Robeson,134760
North Carolina,Rockingham,91696
North Carolina,Rowan,138630
North Carolina,Rutherford,66600
North Carolina,Sampson,64050
North Carolina,Scotland,35576
North Carolina,Stanly,60600
North Carolina,Stokes,46419
North Carolina,Surry,72968
North Carolina,Swain,14274
North Carolina,Transylvania,33045
North Carolina,Tyrrell,4115
North Carolina,Union,218568
North Carolina,Vance,44614
North Carolina,Wake,998691
North Carolina,Warren,20231
North Carolina,Washington,12570
North Carolina,Watauga,52560
North Carolina,Wayne,124456
North Carolina,Wilkes,68838
North Carolina,Wilson,81401
North Carolina,Yadkin,37792
North Carolina,Yancey,17614
North Dakota,Adams,2384
North Dakota,Barnes,11144
North Dakota,Benson,6833
North Dakota,Billings,901
North Dakota,Bottineau,6650
North Dakota,Bowman,3247
North Dakota,Burke,2245
North Dakota,Burleigh,90503
North Dakota,Cass,167005
North Dakota,Cavalier,3855
North Dakota,Dickey,5150
North Dakota,Divide,2432
North Dakota,Dunn,4399
North Dakota,Eddy,2377
North Dakota,Emmons,3422
North Dakota,Foster,3362
North Dakota,Golden Valley,1825
North Dakota,Grand Forks,70138
North Dakota,Grant,2361
North Dakota,Griggs,2319
North Dakota,Hettinger,2660
North Dakota,Kidder,2424
North Dakota,LaMoure,4149
North Dakota,Logan,1944
North Dakota,McHenry,5988
North Dakota,McIntosh,2801
North Dakota,McKenzie,10996
North Dakota,McLean,9578
North Dakota,Mercer,8746
North Dakota,Morton,29822
North Dakota,Mountrail,9782
North Dakota,Nelson,3045
North Dakota,Oliver,1850
North Dakota,Pembina,7128
North Dakota,Pierce,4404
North Dakota,Ramsey,11564
North Dakota,Ransom,5446
North Dakota,Renville,2587
North Dakota,Richland,16432
North Dakota,Rolette,14616
North Dakota,Sargent,3931
North Dakota,Sheridan,1326
North Dakota,Sioux,4422
North Dakota,Slope,765
North Dakota,Stark,30372
North Dakota,Steele,1955
North Dakota,Stutsman,21129
North Dakota,Towner,2310
North Dakota,Traill,8082
North Dakota,Walsh,10970
North Dakota,Ward,69384
North Dakota,Wells,4192
North Dakota,Williams,32130
Ohio,Adams,28129
Ohio,Allen,105040
Ohio,Ashland,53035
Ohio,Ashtabula,99175
Ohio,Athens,64713
Ohio,Auglaize,45841
Ohio,Belmont,69461
Ohio,Brown,44116
Ohio,Butler,374158
Ohio,Carroll,28187
Ohio,Champaign,39128
Ohio,Clark,136554
Ohio,Clermont,201560
Ohio,Clinton,41835
Ohio,Columbiana,105686
Ohio,Coshocton,36516
Ohio,Crawford,42480
Ohio,Cuyahoga,1259828
Ohio,Darke,52196
Ohio,Defiance,38510
Ohio,Delaware,189113
Ohio,Erie,75828
Ohio,Fairfield,150381
Ohio,Fayette,28800
Ohio,Franklin,1231393
Ohio,Fulton,42580
Ohio,Gallia,30397
Ohio,Geauga,94295
Ohio,Greene,163820
Ohio,Guernsey,39590
Ohio,Hamilton,806631
Ohio,Hancock,75337
Ohio,Hardin,31796
Ohio,Harrison,15543
Ohio,Henry,27937
Ohio,Highland,43045
Ohio,Hocking,28725
Ohio,Holmes,43898
Ohio,Huron,58714
Ohio,Jackson,32748
Ohio,Jefferson,67694
Ohio,Knox,61167
Ohio,Lake,229230
Ohio,Lawrence,61623
Ohio,Licking,169390
Ohio,Logan,45507
Ohio,Lorain,304216
Ohio,Lucas,435286
Ohio,Madison,43918
Ohio,Mahoning,233204
Ohio,Marion,65720
Ohio,Medina,176029
Ohio,Meigs,23331
Ohio,Mercer,40831
Ohio,Miami,103900
Ohio,Monroe,14465
Ohio,Montgomery,533116
Ohio,Morgan,14843
Ohio,Morrow,35152
Ohio,Muskingum,85818
Ohio,Noble,14363
Ohio,Ottawa,41154
Ohio,Paulding,18989
Ohio,Perry,35812
Ohio,Pickaway,56876
Ohio,Pike,28256
Ohio,Portage,161882
Ohio,Preble,41586
Ohio,Putnam,34171
Ohio,Richland,121942
Ohio,Ross,77159
Ohio,Sandusky,60179
Ohio,Scioto,77258
Ohio,Seneca,55669
Ohio,Shelby,48951
Ohio,Stark,375736
Ohio,Summit,541943
Ohio,Trumbull,205175
Ohio,Tuscarawas,92788
Ohio,Union,53776
Ohio,Van Wert,28462
Ohio,Vinton,13234
Ohio,Warren,221659
Ohio,Washington,61213
Ohio,Wayne,115537
Ohio,Williams,37291
Ohio,Wood,129590
Ohio,Wyandot,22353
Oklahoma,Adair,22186
Oklahoma,Alfalfa,5790
Oklahoma,Atoka,13796
Oklahoma,Beaver,5486
Oklahoma,Beckham,23691
Oklahoma,Blaine,9917
Oklahoma,Bryan,44486
Oklahoma,Caddo,29317
Oklahoma,Canadian,129582
Oklahoma,Carter,48821
Oklahoma,Cherokee,48341
Oklahoma,Choctaw,15161
Oklahoma,Cimarron,2294
Oklahoma,Cleveland,269908
Oklahoma,Coal,5807
Oklahoma,Comanche,125033
Oklahoma,Cotton,6150
Oklahoma,Craig,14582
Oklahoma,Creek,70632
Oklahoma,Custer,29500
Oklahoma,Delaware,41446
Oklahoma,Dewey,4914
Oklahoma,Ellis,4150
Oklahoma,Garfield,63091
Oklahoma,Garvin,27561
Oklahoma,Grady,53854
Oklahoma,Grant,4501
Oklahoma,Greer,6151
Oklahoma,Harmon,2798
Oklahoma,Harper,3812
Oklahoma,Haskell,12896
Oklahoma,Hughes,13806
Oklahoma,Jackson,25998
Oklahoma,Jefferson,6292
Oklahoma,Johnston,11103
Oklahoma,Kay,45478
Oklahoma,Kingfisher,15532
Oklahoma,Kiowa,9336
Oklahoma,Latimer,10693
Oklahoma,Le Flore,49761
Oklahoma,Lincoln,34619
Oklahoma,Logan,45276
Oklahoma,Love,9773
Oklahoma,McClain,37313
Oklahoma,McCurtain,33050
Oklahoma,McIntosh,20088
Oklahoma,Major,7750
Oklahoma,Marshall,16182
Oklahoma,Mayes,40816
Oklahoma,Murray,13803
Oklahoma,Muskogee,69966
Oklahoma,Noble,11494
Oklahoma,Nowata,10524
Oklahoma,Okfuskee,12186
Oklahoma,Oklahoma,766215
Oklahoma,Okmulgee,39095
Oklahoma,Osage,47981
Oklahoma,Ottawa,32105
Oklahoma,Pawnee,16401
Oklahoma,Payne,80264
Oklahoma,Pittsburg,44626
Oklahoma,Pontotoc,38005
Oklahoma,Pottawatomie,71811
Oklahoma,Pushmataha,11125
Oklahoma,Roger Mills,3761
Oklahoma,Rogers,89815
Oklahoma,Seminole,25421
Oklahoma,Sequoyah,41358
Oklahoma,Stephens,44493
Oklahoma,Texas,21853
Oklahoma,Tillman,7628
Oklahoma,Tulsa,629598
Oklahoma,Wagoner,75702
Oklahoma,Washington,51937
Oklahoma,Washita,11547
Oklahoma,Woods,9288
Oklahoma,Woodward,21529
Oregon,Baker,16059
Oregon,Benton,86316
Oregon,Clackamas,394972
Oregon,Clatsop,37474
Oregon,Columbia,49459
Oregon,Coos,62475
Oregon,Crook,20998
Oregon,Curry,22335
Oregon,Deschutes,170388
Oregon,Douglas,106972
Oregon,Gilliam,1932
Oregon,Grant,7180
Oregon,Harney,7126
Oregon,Hood River,22885
Oregon,Jackson,210287
Oregon,Jefferson,22192
Oregon,Josephine,83599
Oregon,Klamath,65455
Oregon,Lake,7838
Oregon,Lane,358337
Oregon,Lincoln,46406
Oregon,Linn,119356
Oregon,Malheur,30359
Oregon,Marion,326110
Oregon,Morrow,11187
Oregon,Multnomah,776712
Oregon,Polk,77916
Oregon,Sherman,1710
Oregon,Tillamook,25342
Oregon,Umatilla,76705
Oregon,Union,25691
Oregon,Wallowa,6820
Oregon,Wasco,25515
Oregon,Washington,562998
Oregon,Wheeler,1375
Oregon,Yamhill,101758
Pennsylvania,Adams,101714
Pennsylvania,Allegheny,1231255
Pennsylvania,Armstrong,67785
Pennsylvania,Beaver,169392
Pennsylvania,Bedford,48946
Pennsylvania,Berks,413691
Pennsylvania,Blair,125955
Pennsylvania,Bradford,61784
Pennsylvania,Bucks,626685
Pennsylvania,Butler,185943
Pennsylvania,Cambria,137732
Pennsylvania,Cameron,4805
Pennsylvania,Carbon,64441
Pennsylvania,Centre,158742
Pennsylvania,Chester,512784
Pennsylvania,Clarion,38821
Pennsylvania,Clearfield,81191
Pennsylvania,Clinton,39745
Pennsylvania,Columbia,67122
Pennsylvania,Crawford,87175
Pennsylvania,Cumberland,243762
Pennsylvania,Dauphin,271453
Pennsylvania,Delaware,562960
Pennsylvania,Elk,31194
Pennsylvania,Erie,278443
Pennsylvania,Fayette,134086
Pennsylvania,Forest,7518
Pennsylvania,Franklin,152892
Pennsylvania,Fulton,14632
Pennsylvania,Greene,37843
Pennsylvania,Huntingdon,45750
Pennsylvania,Indiana,87706
Pennsylvania,Jefferson,44638
Pennsylvania,Juniata,24796
Pennsylvania,Lackawanna,212719
Pennsylvania,Lancaster,533320
Pennsylvania,Lawrence,88771
Pennsylvania,Lebanon,136359
Pennsylvania,Lehigh,357823
Pennsylvania,Luzerne,318829
Pennsylvania,Lycoming,116508
Pennsylvania,McKean,42554
Pennsylvania,Mercer,114884
Pennsylvania,Mifflin,46552
Pennsylvania,Monroe,166314
Pennsylvania,Montgomery,816857
Pennsylvania,Montour,18641
Pennsylvania,Northampton,300654
Pennsylvania,Northumberland,93944
Pennsylvania,Perry,45634
Pennsylvania,Philadelphia,1560297
Pennsylvania,Pike,56191
Pennsylvania,Potter,17206
Pennsylvania,Schuylkill,145797
Pennsylvania,Snyder,40323
Pennsylvania,Somerset,76218
Pennsylvania,Sullivan,6339
Pennsylvania,Susquehanna,41920
Pennsylvania,Tioga,42274
Pennsylvania,Union,44874
Pennsylvania,Venango,53529
Pennsylvania,Warren,40703
Pennsylvania,Washington,208187
Pennsylvania,Wayne,51401
Pennsylvania,Westmoreland,359320
Pennsylvania,Wyoming,28131
Pennsylvania,York,440755
Rhode Island,Bristol,49060
Rhode Island,Kent,165128
Rhode Island,Newport,82358
Rhode Island,Providence,631974
Rhode Island,Washington,126653
South Carolina,Abbeville,24965
South Carolina,Aiken,164753
South Carolina,Allendale,9695
South Carolina,Anderson,192810
South Carolina,Bamberg,15182
South Carolina,Barnwell,21959
South Carolina,Beaufort,175852
South Carolina,Berkeley,198205
South Carolina,Calhoun,14878
South Carolina,Charleston,381015
South Carolina,Cherokee,56024
South Carolina,Chester,32337
South Carolina,Chesterfield,46125
South Carolina,Clarendon,34113
South Carolina,Colleton,37771
South Carolina,Darlington,67799
South Carolina,Dillon,31127
South Carolina,Dorchester,148469
South Carolina,Edgefield,26553
South Carolina,Fairfield,22976
South Carolina,Florence,139231
South Carolina,Georgetown,60773
South Carolina,Greenville,482752
South Carolina,Greenwood,69520
South Carolina,Hampton,20405
South Carolina,Horry,298832
South Carolina,Jasper,27170
South Carolina,Kershaw,63161
South Carolina,Lancaster,83160
South Carolina,Laurens,66533
South Carolina,Lee,18343
South Carolina,Lexington,277888
South Carolina,McCormick,9846
South Carolina,Marion,31933
South Carolina,Marlboro,27924
South Carolina,Newberry,37783
South Carolina,Oconee,75192
South Carolina,Orangeburg,90090
South Carolina,Pickens,120368
South Carolina,Richland,401566
South Carolina,Saluda,20026
South Carolina,Spartanburg,293542
South Carolina,Sumter,107919
South Carolina,Union,27876
South Carolina,Williamsburg,32695
South Carolina,York,245346
South Dakota,Aurora,2745
South Dakota,Beadle,18169
South Dakota,Bennett,3430
South Dakota,Bon Homme,7023
South Dakota,Brookings,33314
South Dakota,Brown,38408
South Dakota,Brule,5309
South Dakota,Buffalo,2077
South Dakota,Butte,10298
South Dakota,Campbell,1386
South Dakota,Charles Mix,9287
South Dakota,Clark,3645
South Dakota,Clay,13932
South Dakota,Codington,27938
South Dakota,Corson,4182
South Dakota,Custer,8445
South Dakota,Davison,19885
South Dakota,Day,5588
South Dakota,Deuel,4312
South Dakota,Dewey,5662
South Dakota,Douglas,2973
South Dakota,Edmunds,3983
South Dakota,Fall River,6845
